时间	开盘	最高	最低	收盘	涨幅	振幅
2015-11-02 	16.77	16.77	16.42	16.76	-4.28 	2.00 
2015-11-02 	16.75	16.78	16.74	16.75	-0.06 	0.24 
2015-11-02 	16.76	16.9	16.76	16.9	0.90 	0.84 
2015-11-02 	16.9	17	16.86	17	0.59 	0.83 
2015-11-02 	17	17.05	17	17.02	0.12 	0.29 
2015-11-02 	17.05	17.06	16.98	16.98	-0.24 	0.47 
2015-11-02 	16.95	16.98	16.81	16.81	-1.00 	1.00 
2015-11-02 	16.85	16.9	16.83	16.89	0.48 	0.42 
2015-11-02 	17.01	17.11	17	17.11	1.30 	0.65 
2015-11-02 	17.17	17.26	17.11	17.25	0.82 	0.88 
2015-11-02 	17.26	17.26	17.17	17.18	-0.41 	0.52 
2015-11-02 	17.15	17.17	17.01	17.01	-0.99 	0.93 
2015-11-02 	17.02	17.07	17.01	17.05	0.24 	0.35 
2015-11-02 	17.05	17.05	17	17.02	-0.18 	0.29 
2015-11-02 	17.03	17.07	17.02	17.06	0.24 	0.29 
2015-11-02 	17.06	17.07	17.03	17.05	-0.06 	0.23 
2015-11-02 	17.05	17.06	17.03	17.03	-0.12 	0.18 
2015-11-02 	17.03	17.03	16.93	16.96	-0.41 	0.59 
2015-11-02 	16.96	16.96	16.91	16.91	-0.29 	0.29 
2015-11-02 	16.92	16.92	16.88	16.9	-0.06 	0.24 
2015-11-02 	16.9	16.92	16.9	16.92	0.12 	0.12 
2015-11-02 	17	17	16.93	16.98	0.35 	0.41 
2015-11-02 	17	17	16.98	16.99	0.06 	0.12 
2015-11-02 	16.99	17.09	16.99	17.09	0.59 	0.59 
2015-11-02 	17.03	17.1	17.03	17.06	-0.18 	0.41 
2015-11-02 	17.07	17.17	17.03	17.07	0.06 	0.82 
2015-11-02 	17.16	17.27	17.15	17.18	0.64 	0.70 
2015-11-02 	17.27	17.27	17.18	17.2	0.12 	0.52 
2015-11-02 	17.18	17.2	17.15	17.15	-0.29 	0.29 
2015-11-02 	17.16	17.35	17.11	17.35	1.17 	1.40 
2015-11-02 	17.19	17.35	17.19	17.31	-0.23 	0.92 
2015-11-02 	17.34	17.34	17.3	17.3	-0.06 	0.23 
2015-11-02 	17.32	17.32	17.26	17.26	-0.23 	0.35 
2015-11-02 	17.28	17.28	17.19	17.19	-0.41 	0.52 
2015-11-02 	17.18	17.19	17.16	17.16	-0.17 	0.17 
2015-11-02 	17.16	17.16	17.14	17.14	-0.12 	0.12 
2015-11-02 	17.1	17.1	17.07	17.09	-0.29 	0.18 
2015-11-02 	17.09	17.09	17.08	17.09	0.00 	0.06 
2015-11-02 	17.1	17.1	17.09	17.1	0.06 	0.06 
2015-11-02 	17.15	17.15	17.12	17.14	0.23 	0.18 
2015-11-02 	17.15	17.28	17.12	17.15	0.06 	0.93 
2015-11-02 	17.19	17.23	17.15	17.2	0.29 	0.47 
2015-11-02 	17.2	17.2	17.14	17.15	-0.29 	0.35 
2015-11-02 	17.14	17.14	17.1	17.11	-0.23 	0.23 
2015-11-02 	17.11	17.15	17.11	17.15	0.23 	0.23 
2015-11-02 	17.16	17.2	17.11	17.11	-0.23 	0.52 
2015-11-02 	17.2	17.2	17.16	17.16	0.29 	0.23 
2015-11-02 	17.15	17.2	17.15	17.17	0.06 	0.29 
