时间	开盘	最高	最低	收盘	涨幅
2015-09-25 	26.1	26.49	26.1	26.3	1.15 
2015-09-25 	26.2	26.36	26.1	26.1	-0.76 
2015-09-25 	26.1	26.34	26.1	26.3	0.77 
2015-09-25 	26.34	26.34	26.22	26.3	0.00 
2015-09-25 	26.3	26.3	26.21	26.3	0.00 
2015-09-25 	26.28	26.33	26.23	26.3	0.00 
2015-09-25 	26.3	26.33	26.28	26.3	0.00 
2015-09-25 	26.33	26.38	26.33	26.37	0.27 
2015-09-25 	26.35	26.46	26.35	26.46	0.34 
2015-09-25 	26.46	26.5	26.39	26.5	0.15 
2015-09-25 	26.5	26.59	26.4	26.5	0.00 
2015-09-25 	26.49	26.59	26.49	26.59	0.34 
2015-09-25 	26.6	26.62	26.6	26.62	0.11 
2015-09-25 	26.65	26.8	26.65	26.78	0.60 
2015-09-25 	26.78	26.95	26.78	26.9	0.45 
2015-09-25 	26.9	26.95	26.78	26.78	-0.45 
2015-09-25 	26.8	26.86	26.75	26.82	0.15 
2015-09-25 	26.82	26.87	26.82	26.85	0.11 
2015-09-25 	26.85	26.85	26.8	26.81	-0.15 
2015-09-25 	26.8	26.81	26.75	26.75	-0.22 
2015-09-25 	26.75	26.81	26.65	26.75	0.00 
2015-09-25 	26.6	26.79	26.6	26.62	-0.49 
2015-09-25 	26.75	26.79	26.65	26.73	0.41 
2015-09-25 	26.73	26.75	26.65	26.74	0.04 
2015-09-25 	26.71	26.74	26.66	26.7	-0.15 
2015-09-25 	26.7	26.73	26.61	26.64	-0.22 
2015-09-25 	26.64	26.69	26.61	26.61	-0.11 
2015-09-25 	26.69	26.69	26.55	26.55	-0.23 
2015-09-25 	26.55	26.7	26.51	26.61	0.23 
2015-09-25 	26.68	26.72	26.68	26.72	0.41 
2015-09-25 	26.7	26.7	26.5	26.51	-0.79 
2015-09-25 	26.52	26.65	26.51	26.51	0.00 
2015-09-25 	26.5	26.6	26.47	26.5	-0.04 
2015-09-25 	26.48	26.51	26.48	26.51	0.04 
2015-09-25 	26.51	26.51	26.5	26.5	-0.04 
2015-09-25 	26.47	26.51	26.47	26.5	0.00 
2015-09-25 	26.41	26.5	26.41	26.48	-0.08 
2015-09-25 	26.45	26.45	26.35	26.37	-0.42 
2015-09-25 	26.37	26.41	26.35	26.41	0.15 
2015-09-25 	26.41	26.45	26.4	26.4	-0.04 
2015-09-25 	26.4	26.45	26.4	26.45	0.19 
2015-09-25 	26.45	26.5	26.4	26.5	0.19 
2015-09-25 	26.5	26.5	26.45	26.49	-0.04 
2015-09-25 	26.49	26.5	26.49	26.5	0.04 
2015-09-25 	26.5	26.51	26.45	26.5	0.00 
2015-09-25 	26.45	26.45	26.4	26.4	-0.38 
2015-09-25 	26.4	26.45	26.4	26.45	0.19 
2015-09-25 	26.46	26.55	26.45	26.55	0.38 
2015-09-25 	26.58	26.58	26.5	26.5	-0.19 
