时间	开盘	最高	最低	收盘	涨幅 	振幅 	总手(万)	金额(亿)
2014-05-13 	5179.87	5194.19	5145.28	5165.49	-0.26	0.944	1026016600	12005778900
2014-05-14 	5163.93	5173.22	5142.19	5156.53	-0.17	0.601	728353500	8253126300
2014-05-15 	5153.01	5163.68	5072.51	5074.26	-1.6	1.77	948817200	11040409700
2014-05-16 	5068.81	5088.44	5023.97	5078.33	0.08	1.27	778449100	9227483000
2014-05-19 	5078.02	5078.02	5004.46	5028.55	-0.98	1.45	865612700	10250296900
2014-05-20 	5049.16	5085.79	5024.05	5036.92	0.17	1.23	821872200	9708354300
2014-05-21 	5016.22	5082.72	4985.74	5082.35	0.9	1.93	753461800	9054999700
2014-05-22 	5086.83	5134.7	5061.16	5064.1	-0.36	1.45	1056429700	12533632300
2014-05-23 	5060.37	5118.8	5055.48	5118.28	1.07	1.25	979430700	12012023800
2014-05-26 	5153.92	5173.98	5145.89	5170.16	1.01	0.549	1143507000	15457060000
2014-05-27 	5168.34	5182.71	5144.75	5149.63	-0.4	0.734	1000075300	12637260000
2014-05-28 	5152.65	5227.23	5143.64	5225.33	1.47	1.62	1457553700	17363083000
2014-05-29 	5225.58	5238.52	5164.02	5164.16	-1.17	1.43	1159460800	14660666000
2014-05-30 	5163.55	5210.08	5140.75	5188.87	0.48	1.34	1166052400	14555803000
2014-06-03 	5191.34	5205.29	5161.75	5164.17	-0.48	0.839	949302800	11870625800
2014-06-04 	5156.55	5157.08	5062.99	5110.49	-1.04	1.82	1037584600	12376300700
2014-06-05 	5105.47	5162.44	5098.54	5162.35	1.01	1.25	893521900	11491560600
2014-06-06 	5161.88	5169.29	5111.12	5134.74	-0.53	1.13	911773000	10762480600
2014-06-09 	5124.72	5160.45	5107.59	5110.93	-0.46	1.03	952311300	11446394600
2014-06-10 	5117.16	5172.99	5092.33	5172.59	1.21	1.58	1071151700	13094861700
2014-06-11 	5169.12	5207.36	5163.77	5202.64	0.58	0.843	1161748300	13766075000
2014-06-12 	5195.46	5216.4	5173.71	5203.13	0.01	0.821	1208932900	14058701000
2014-06-13 	5196.79	5268.42	5193.6	5259.6	1.09	1.44	1536017300	17849438000
2014-06-16 	5266.29	5305.07	5266.29	5296.41	0.7	0.737	1588661600	19342413000
2014-06-17 	5293.8	5293.8	5253.96	5255.5	-0.77	0.752	1465708200	17910650000
2014-06-18 	5262.84	5278.78	5240.54	5244.63	-0.21	0.728	1326492500	16540778000
2014-06-19 	5245.23	5257.56	5109.1	5135.66	-2.08	2.83	1593817500	18344750000
2014-06-20 	5128.82	5175.16	5123.79	5174.03	0.75	1	1010118100	12155572500
2014-06-23 	5182.86	5222.79	5180.06	5196.28	0.43	0.826	1052791500	12977708100
2014-06-24 	5193.55	5237.77	5186.58	5237.26	0.79	0.985	1096913300	14367039000
2014-06-25 	5231.34	5231.34	5184.39	5200.03	-0.71	0.896	939834100	11653509400
2014-06-26 	5202.97	5248.2	5202.61	5247.8	0.92	0.877	1183604400	14775914000
2014-06-27 	5247.87	5313.04	5234.32	5283.75	0.69	1.5	1695542500	18692780000
2014-06-30 	5287.36	5359.8	5287.36	5357.36	1.39	1.37	1781741200	21405201000
2014-07-01 	5366.81	5375.49	5344.2	5372.32	0.28	0.584	1609451900	20740161000
2014-07-02 	5373.99	5400.14	5354.9	5393.51	0.39	0.842	2000582000	23118049000
2014-07-03 	5390.8	5440.02	5374.34	5422.03	0.53	1.22	1766952200	21929713000
2014-07-04 	5427.62	5432.1	5387.68	5395.9	-0.48	0.819	1519007500	19585759000
2014-07-07 	5401.27	5419.42	5380.2	5397.12	0.02	0.727	1782469200	22058050000
2014-07-08 	5400.02	5423.05	5355.05	5422.45	0.47	1.26	1846015500	22623998000
