时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额
2010-08-12 	49.44	49.98	42.71	42.96	47.12 	24.90 	15,301,864	707,098,750
2010-08-13 	45.01	46	43.52	44.45	3.47 	5.77 	8,987,041	402,684,140
2010-08-16 	42	43.57	41.52	43.03	-3.19 	4.61 	6,120,034	259,750,800
2010-08-17 	42.81	43.98	42.58	43.54	1.19 	3.25 	4,062,009	176,281,330
2010-08-18 	43.6	43.77	41.75	41.95	-3.65 	4.64 	4,267,404	180,362,510
2010-08-19 	41.95	42.86	41.7	42.02	0.17 	2.77 	2,859,426	121,042,848
2010-08-20 	41.68	42.44	41.5	42	-0.05 	2.24 	2,443,719	102,728,057
2010-08-23 	42.1	42.39	40	40.12	-4.48 	5.69 	3,670,158	149,675,530
2010-08-24 	40.25	40.25	38.95	39.81	-0.77 	3.24 	2,630,181	103,681,398
2010-08-25 	39.41	40.28	39	39.01	-2.01 	3.22 	1,897,568	75,187,805
2010-08-26 	39.35	39.65	38.66	39.5	1.26 	2.54 	1,721,984	67,419,612
2010-08-27 	39.2	39.79	39.05	39.7	0.51 	1.87 	1,364,248	53,833,298
2010-08-30 	39.85	40.45	39.82	40.15	1.13 	1.59 	1,796,739	72,108,443
2010-08-31 	40.01	40.19	39.6	39.9	-0.62 	1.47 	1,509,819	60,161,649
2010-09-01 	39.96	41.69	39.96	40.91	2.53 	4.34 	2,700,543	110,331,922
2010-09-02 	40.86	41.69	40.44	41.25	0.83 	3.06 	2,421,649	99,600,517
2010-09-03 	41.12	41.87	40.72	41.2	-0.12 	2.79 	2,199,662	90,833,688
2010-09-06 	41.3	41.49	39	39.36	-4.47 	6.04 	2,315,248	92,410,973
2010-09-07 	39.43	39.77	39.11	39.49	0.33 	1.68 	860,417	33,946,813
2010-09-08 	39	39.39	38.8	39.25	-0.61 	1.49 	1,208,879	47,175,817
2010-09-09 	39.15	39.75	38.98	39.15	-0.25 	1.96 	1,333,960	52,405,902
2010-09-10 	38.9	39.3	38.19	38.48	-1.71 	2.84 	1,431,856	55,322,907
2010-09-13 	38.6	39.4	38.42	39.4	2.39 	2.55 	1,362,743	53,208,813
2010-09-14 	39.75	39.88	38.7	38.9	-1.27 	2.99 	1,041,612	40,828,971
2010-09-15 	38.5	38.88	36.08	36.3	-6.68 	7.20 	1,936,146	72,151,597
2010-09-16 	36.25	36.57	34.8	35.43	-2.40 	4.88 	1,508,240	53,514,813
2010-09-17 	35.5	36.15	35.01	35.24	-0.54 	3.22 	837,828	29,744,268
2010-09-20 	35.4	35.58	34.58	34.61	-1.79 	2.84 	636,099	22,203,245
2010-09-21 	34.9	34.9	33.4	33.48	-3.26 	4.33 	915,541	31,051,641
2010-09-27 	33.47	33.9	33.45	33.9	1.25 	1.34 	628,933	21,217,780
2010-09-28 	34.6	37.29	34.6	37.29	10.00 	7.94 	2,986,781	109,773,241
2010-09-29 	36.64	37.52	35.71	37.4	0.29 	4.85 	2,486,068	90,835,572
2010-09-30 	37.01	37.65	36.81	37.18	-0.59 	2.25 	1,121,766	41,837,026
2010-10-08 	37.58	38.2	37.18	37.59	1.10 	2.74 	1,425,006	53,506,963
2010-10-11 	37.58	37.58	36.24	36.43	-3.09 	3.56 	1,320,345	48,362,732
